# git_sha=2e836f72ab445e44a257a087e76653b13739de99
# physiology_md5=af16830e7f15c5cf9848c8eb694e99c8
# organism_md5=8882eac48ee3e4932e643650e75e0732
# prereg_md5=58583216a0b7901bc9c9f0971ccee866
# python=3.13.2
# numpy=2.3.5
# scipy=1.16.3
# written=2026-09-11T04:09:49-04:00
class,k,r_au,net_carbon
vascular,50.0,0.5,8.64845
vascular,50.0,0.513491,8.64565
vascular,50.0,0.527346,8.64269
vascular,50.0,0.541575,8.63957
vascular,50.0,0.556188,8.63629
vascular,50.0,0.571196,8.63283
vascular,50.0,0.586608,8.62918
vascular,50.0,0.602436,8.62534
vascular,50.0,0.618691,8.62129
vascular,50.0,0.635385,8.61702
vascular,50.0,0.652529,8.61252
vascular,50.0,0.670135,8.60778
vascular,50.0,0.688217,8.60278
vascular,50.0,0.706787,8.59752
vascular,50.0,0.725858,8.59197
vascular,50.0,0.745443,8.58613
vascular,50.0,0.765557,8.57998
vascular,50.0,0.786213,8.5735
vascular,50.0,0.807427,8.56667
vascular,50.0,0.829213,8.55948
vascular,50.0,0.851588,8.55191
vascular,50.0,0.874565,8.54394
vascular,50.0,0.898163,8.53554
vascular,50.0,0.922398,8.52671
vascular,50.0,0.947286,8.5174
vascular,50.0,0.972846,8.50761
vascular,50.0,0.999096,8.4973
vascular,50.0,1.02605,8.48645
vascular,50.0,1.05374,8.47503
vascular,50.0,1.08217,8.46302
vascular,50.0,1.11137,8.45038
vascular,50.0,1.14136,8.43709
vascular,50.0,1.17215,8.42311
vascular,50.0,1.20378,8.4084
vascular,50.0,1.23626,8.39294
vascular,50.0,1.26962,8.37669
vascular,50.0,1.30388,8.35961
vascular,50.0,1.33906,8.34166
vascular,50.0,1.37519,8.3228
vascular,50.0,1.4123,8.30299
vascular,50.0,1.4504,8.28219
vascular,50.0,1.48954,8.26034
vascular,50.0,1.52973,8.23741
vascular,50.0,1.571,8.21334
vascular,50.0,1.61339,8.18808
vascular,50.0,1.65693,8.16159
vascular,50.0,1.70163,8.13381
vascular,50.0,1.74755,8.10469
vascular,50.0,1.7947,8.07417
vascular,50.0,1.84313,8.04219
vascular,50.0,1.89286,8.0087
vascular,50.0,1.94393,7.97364
vascular,50.0,1.99638,7.93694
vascular,50.0,2.05025,7.89856
vascular,50.0,2.10557,7.85841
vascular,50.0,2.16239,7.81645
vascular,50.0,2.22073,7.77261
vascular,50.0,2.28065,7.72682
vascular,50.0,2.34219,7.67903
vascular,50.0,2.40539,7.62917
vascular,50.0,2.47029,7.57718
vascular,50.0,2.53694,7.523
vascular,50.0,2.6054,7.46656
vascular,50.0,2.6757,7.40782
vascular,50.0,2.74789,7.34671
vascular,50.0,2.82204,7.28318
vascular,50.0,2.89818,7.21718
vascular,50.0,2.97638,7.14867
vascular,50.0,3.05669,7.07759
vascular,50.0,3.13917,7.0039
vascular,50.0,3.22387,6.92758
vascular,50.0,3.31086,6.84859
vascular,50.0,3.40019,6.7669
vascular,50.0,3.49194,6.68251
vascular,50.0,3.58616,6.59539
vascular,50.0,3.68292,6.50554
vascular,50.0,3.78229,6.41297
vascular,50.0,3.88435,6.31768
vascular,50.0,3.98916,6.21971
vascular,50.0,4.09679,6.11906
vascular,50.0,4.20734,6.0158
vascular,50.0,4.32086,5.90995
vascular,50.0,4.43745,5.80158
vascular,50.0,4.55718,5.69076
vascular,50.0,4.68014,5.57757
vascular,50.0,4.80642,5.46209
vascular,50.0,4.93611,5.34442
vascular,50.0,5.0693,5.22468
vascular,50.0,5.20608,5.10298
vascular,50.0,5.34655,4.97944
vascular,50.0,5.49082,4.85421
vascular,50.0,5.63897,4.72743
vascular,50.0,5.79112,4.59926
vascular,50.0,5.94738,4.46985
vascular,50.0,6.10785,4.33938
vascular,50.0,6.27266,4.20802
vascular,50.0,6.44191,4.07594
vascular,50.0,6.61573,3.94334
vascular,50.0,6.79423,3.81039
vascular,50.0,6.97756,3.67728
vascular,50.0,7.16583,3.54421
vascular,50.0,7.35918,3.41135
vascular,50.0,7.55775,3.27891
vascular,50.0,7.76167,3.14706
vascular,50.0,7.9711,3.01598
vascular,50.0,8.18618,2.88585
vascular,50.0,8.40706,2.75685
vascular,50.0,8.6339,2.62913
vascular,50.0,8.86687,2.50286
vascular,50.0,9.10612,2.3782
vascular,50.0,9.35182,2.25527
vascular,50.0,9.60415,2.13422
vascular,50.0,9.8633,2.01517
vascular,50.0,10.1294,1.89824
vascular,50.0,10.4027,1.78353
vascular,50.0,10.6834,1.67114
vascular,50.0,10.9717,1.56115
vascular,50.0,11.2677,1.45364
vascular,50.0,11.5718,1.34866
vascular,50.0,11.884,1.24629
vascular,50.0,12.2047,1.14655
vascular,50.0,12.534,1.04949
vascular,50.0,12.8722,0.955128
vascular,50.0,13.2195,0.863485
