# git_sha=686e7edb0304d9887851dab15044df953cb45ee5
# code_dirty=no
# prereg_md5=d8707a6607db6d54a006e14af9dcfe79
# spectral_table_sha256=2cfea122d9f6f8aae04b3cc53221d67f6d010f94ead1ff39a81a78f4398da0b8
# vessel_md5=4eddbbbb4098a09fae1039ca82cbc052
# physiology_md5=af16830e7f15c5cf9848c8eb694e99c8
# thermal_md5=6b0ecfc0353686a3534939ac9eff9a0e
# organism_md5=a5425fa33a97b64be9793a2788778abc
# run_md5=04c7a9c54fa237830dd550a2f64e17a4
# python=3.13.2
# numpy=2.3.5
# scipy=1.16.3
# written=2026-09-24T01:16:59-04:00
row,prediction,config,optical_law,n_interior,thermal_reflectance,interior,f_floor,sigma_MPa,fixed,quantity,line,unit,measured,expected,delta,tolerance,within_tol,matches_printed,binding,expected_binding,binding_ok,tie,bracket_lo,bracket_hi,roots,counterfactual,starve_margin_at_edge,band_lo,band_hi,in_band
P1,P1,registered,shell,1.000,0,mixed,0.25,0.7,R=10 km,r_close,FREEZE,AU,1.204929,1.2049,+0.000029,0.0001,True,True,FREEZE,FREEZE,True,False,1.2000,1.2100,FREEZE=1.204929,,1.9816,1.19,1.27,True
P1,P1,registered,shell,1.000,0,mixed,0.25,1.5,R=10 km,r_close,FREEZE,AU,1.230323,1.2303,+0.000023,0.0001,True,True,FREEZE,FREEZE,True,False,1.2300,1.2400,FREEZE=1.230323,,1.9870,1.19,1.27,True
P1,P1,registered,shell,1.000,0,mixed,0.25,3.1,R=10 km,r_close,FREEZE,AU,1.254335,1.2543,+0.000035,0.0001,True,True,FREEZE,FREEZE,True,False,1.2500,1.2600,FREEZE=1.254335,,1.9895,1.19,1.27,True
P1.control,P1,control normal,normal,1.000,0,mixed,0.25,0.7,R=10 km,r_close,FREEZE,AU,1.211114,1.2111,+0.000014,0.0001,True,True,FREEZE,FREEZE,True,False,1.2100,1.2200,FREEZE=1.211114,,1.9833,1.19,1.27,True
P1.control,P1,control normal,normal,1.000,0,mixed,0.25,1.5,R=10 km,r_close,FREEZE,AU,1.236544,1.2365,+0.000044,0.0001,True,True,FREEZE,FREEZE,True,False,1.2300,1.2400,FREEZE=1.236544,,1.9879,1.19,1.27,True
P1.control,P1,control normal,normal,1.000,0,mixed,0.25,3.1,R=10 km,r_close,FREEZE,AU,1.260455,1.2605,-0.000045,0.0001,True,True,FREEZE,FREEZE,True,False,1.2600,1.2700,FREEZE=1.260455,,1.9899,1.19,1.27,True
P1.arm0,P1,arm (i) n_int 1.000,shell+fresnel,1.000,0,mixed,0.25,0.7,R=10 km,r_close,FREEZE,AU,1.188569,1.1886,-0.000031,0.0001,True,True,FREEZE,FREEZE,True,False,1.1800,1.1900,FREEZE=1.188569,,1.9784,1.19,1.27,False
P1.arm0,P1,arm (i) n_int 1.000,shell+fresnel,1.000,0,mixed,0.25,1.5,R=10 km,r_close,FREEZE,AU,1.211598,1.2116,-0.000002,0.0001,True,True,FREEZE,FREEZE,True,False,1.2100,1.2200,FREEZE=1.211598,,1.9843,1.19,1.27,True
P1.arm0,P1,arm (i) n_int 1.000,shell+fresnel,1.000,0,mixed,0.25,3.1,R=10 km,r_close,FREEZE,AU,1.233407,1.2334,+0.000007,0.0001,True,True,FREEZE,FREEZE,True,False,1.2300,1.2400,FREEZE=1.233407,,1.9871,1.19,1.27,True
P1.arm1,P1,arm (i) n_int 1.333,shell+fresnel,1.333,0,mixed,0.25,0.7,R=10 km,r_close,FREEZE,AU,1.195410,1.1954,+0.000010,0.0001,True,True,FREEZE,FREEZE,True,False,1.1900,1.2000,FREEZE=1.195410,,1.9798,1.19,1.27,True
P1.arm1,P1,arm (i) n_int 1.333,shell+fresnel,1.333,0,mixed,0.25,1.5,R=10 km,r_close,FREEZE,AU,1.219419,1.2194,+0.000019,0.0001,True,True,FREEZE,FREEZE,True,False,1.2100,1.2200,FREEZE=1.219419,,1.9855,1.19,1.27,True
