# git_sha=46199443972a9686db0a0a327fb68eb9ee62d1ac
# code_dirty=no
# prereg_md5=d8707a6607db6d54a006e14af9dcfe79
# spectral_table_sha256=2cfea122d9f6f8aae04b3cc53221d67f6d010f94ead1ff39a81a78f4398da0b8
# vessel_md5=4eddbbbb4098a09fae1039ca82cbc052
# physiology_md5=af16830e7f15c5cf9848c8eb694e99c8
# thermal_md5=6b0ecfc0353686a3534939ac9eff9a0e
# organism_md5=a5425fa33a97b64be9793a2788778abc
# run_md5=04c7a9c54fa237830dd550a2f64e17a4
# python=3.13.2
# numpy=2.3.5
# scipy=1.16.3
# written=2026-09-24T02:36:11-04:00
sigma_MPa,r_au,R_m,p_star_Pa,t_m,T_int_K,T_shell_K,f_photon,margin_BURST_Pa,margin_FREEZE_K,margin_BOIL_Pa,margin_STARVE_umol,margin_OPAQUE,first_violated
0.7,1.04,10,6423.415221,0.0458815,310.565224,272.906559,0.993205,0,37.4152,1.03234e-07,5.72765,0.743205,HELD
0.7,1.04,11.2202,6318.453205,0.0506387,310.262376,272.906559,0.992506,0,37.1124,-8.55598e-08,5.87502,0.742506,HELD
0.7,1.04,12.5893,6213.878036,0.0558772,309.956284,272.906559,0.991738,0,36.8063,-8.13461e-08,6.02267,0.741738,HELD
0.7,1.04,14.1254,6109.916896,0.0616463,309.647536,272.906559,0.990895,0,36.4975,-7.77318e-08,6.17014,0.740895,HELD
0.7,1.04,15.8489,6006.789291,0.0680009,309.336737,272.906559,0.989967,1.16415e-10,36.1867,-7.47414e-08,6.31698,0.739967,HELD
0.7,1.04,17.7828,5904.694973,0.0750014,309.024467,272.906559,0.988947,0,35.8745,-1.74862e-07,6.46275,0.738947,HELD
0.7,1.04,19.9526,5803.794440,0.0827149,308.711219,272.906559,0.987827,0,35.5612,-1.69739e-07,6.60707,0.737827,HELD
0.7,1.04,22.3872,5704.201492,0.0912151,308.397368,272.906559,0.986595,0,35.2474,-1.64956e-07,6.7496,0.736595,HELD
0.7,1.04,25.1189,5605.973718,0.100583,308.083134,272.906559,0.985242,0,34.9331,-1.60638e-07,6.89009,0.735242,HELD
0.7,1.04,28.1838,5509.114204,0.110906,307.768568,272.906559,0.983756,0,34.6186,-1.56096e-07,7.02837,0.733756,HELD
0.7,1.04,31.6228,5413.572940,0.12228,307.453551,272.906559,0.982125,0,34.3036,-1.51486e-07,7.16435,0.732125,HELD
0.7,1.04,35.4813,5319.258614,0.13481,307.137814,272.906559,0.980335,1.16415e-10,33.9878,-1.46399e-07,7.29797,0.730335,HELD
0.7,1.04,39.8107,5226.048982,0.148609,306.820969,272.906559,0.978373,0,33.671,-1.40772e-07,7.42924,0.728373,HELD
0.7,1.04,44.6684,5133.808863,0.163799,306.502557,272.906559,0.976223,0,33.3526,-1.34706e-07,7.55817,0.726223,HELD
0.7,1.04,50.1187,5042.403583,0.180513,306.182091,272.906559,0.973871,0,33.0321,-1.28313e-07,7.68477,0.723871,HELD
0.7,1.04,56.2341,4951.715887,0.198897,305.859119,272.906559,0.971299,0,32.7091,-1.21397e-07,7.80898,0.721299,HELD
0.7,1.04,63.0957,4861.654052,0.219107,305.533254,272.906559,0.96849,0,32.3833,-1.14322e-07,7.93075,0.71849,HELD
0.7,1.04,70.7946,4772.160366,0.241316,305.204211,272.906559,0.965425,0,32.0542,-1.07349e-07,8.04991,0.715425,HELD
