# sim/spectral_table.csv -- the committed spectral basis for Q4 (northstar design §8, M1a0).
# Generated by tools/make_spectral_table.py; do not hand-edit.
# producer_commit: 5246a509ff21492c30ba97a51bc5832cc763dba6
# quadrature: trapezoid
# formatter: %.10e , newline \n
# grid: ASTM G173-03 native, 2002 rows, 280-4000 nm
# source: ASTMG173.csv  md5 b31870bd3500b58414100af7e4b0e04c  size 57708 B  pvlib-python commit 2d0ed71e1308293b3081979404f8e90f2f2dde1e
# source: iop2008.dat  md5 cf5f76d58a31aa5f994fa038c390a856  size 16514 B  Warren & Brandt 2008, IOP_2008_ASCIItable.dat
# k_per_m: 4*pi*m_im/lambda, m_im log-space interpolated over 250-4200 nm
# E_AM0: ASTM column 2 (extraterrestrial), W m^-2 nm^-1
# n_ph: E_AM0*lambda/(h c), h 6.62607015e-34 J s, c 299792458.0 m/s
lambda_nm,k_per_m,E_AM0,n_ph
2.8000000000e+02,8.9759790103e-04,8.2000000000e-02,1.1558331639e+17
2.8050000000e+02,8.9599790477e-04,9.9000000000e-02,1.3979490002e+17
2.8100000000e+02,8.9440360245e-04,1.5000000000e-01,2.1218801332e+17
2.8150000000e+02,8.9281496372e-04,2.1200000000e-01,3.0042600852e+17
2.8200000000e+02,8.9123195847e-04,2.6700000000e-01,3.7903877284e+17
2.8250000000e+02,8.8965455677e-04,3.0300000000e-01,4.3090779289e+17
2.8300000000e+02,8.8808272893e-04,3.2500000000e-01,4.6301287130e+17
2.8350000000e+02,8.8651644546e-04,3.2300000000e-01,4.6097657115e+17
2.8400000000e+02,8.8495567707e-04,2.9900000000e-01,4.2747704245e+17
2.8450000000e+02,8.8340039468e-04,2.5024000000e-01,3.5839527035e+17
2.8500000000e+02,8.8185056943e-04,1.7589000000e-01,2.5235346747e+17
2.8550000000e+02,8.8030617263e-04,1.5500000000e-01,2.2277224341e+17
2.8600000000e+02,8.7876717583e-04,2.4200000000e-01,3.4842127587e+17
2.8650000000e+02,8.7723355074e-04,3.3300000000e-01,4.8027737407e+17
2.8700000000e+02,8.7570526929e-04,3.6200000000e-01,5.2301450667e+17
2.8750000000e+02,8.7418230361e-04,3.3900000000e-01,4.9063758596e+17
2.8800000000e+02,8.7266462600e-04,3.1100000000e-01,4.5089575272e+17
